customer_id,age,gender,state,city,zone,education_level,occupation,primary_language,income_level,provider,plan_type,tenure_months,registration_date,monthly_charges,total_charges,data_usage_gb,voice_usage_minutes,sms_usage,network_type,call_drop_rate,network_downtime_hours,internet_speed_mbps,customer_service_calls,complaint_resolution_time,satisfaction_score,payment_method,late_payments,has_caller_tune,has_data_rollover,has_international_roaming,uses_mobile_money,uses_ussd_banking,subscribes_to_news,uses_social_bundles,family_plan,referrals_made,competitor_offers_received,device_age_years,smartphone_user,churn
NIG000011,27,Female,Imo,Imo City,South East,Secondary,Civil Servant,Hausa,Low,MTN,Prepaid,1,2025-06-22,2532.02,2688.16,1.01,494.23,62,4G,0.165,0.36,26.53,4,11.98,8.5,USSD,0,0,0,0,0,1,0,1,1,2,1,0.6,1,1
NIG000012,59,Female,Lagos,Ikeja,South West,Secondary,Farmer,Igbo,Low,MTN,Postpaid,82,2018-10-27,6310.22,492767.68,22.69,1003.8,52,4G,0.027,2.59,24.41,2,17.8,7.3,Airtime Transfer,2,0,0,0,0,0,0,1,0,1,3,4.1,1,0
NIG000013,43,Male,Jigawa,Jigawa City,North West,Secondary,Civil Servant,English,Low,Airtel,Prepaid,10,2024-09-25,1672.27,12631.86,1.72,574.35,47,4G,0.025,1.82,29.27,3,3.84,2.2,Mobile Money,2,1,0,0,0,1,0,1,1,0,2,0.9,1,0
NIG000014,42,Female,Sokoto,Sokoto City,North West,OND/NCE,Teacher,Hausa,High,MTN,Postpaid,22,2023-10-01,8207.02,152859.47,4.92,356.11,58,4G,0.017,3.69,5.13,0,28.65,10,POS,2,1,0,0,1,1,0,1,1,0,4,2.9,0,0
NIG000015,66,Male,Cross River,Cross River City,South South,Secondary,Farmer,Hausa,Low,Airtel,Prepaid,27,2023-05-04,7084.82,225066.86,3.01,694.81,43,4G,0.216,0.1,26.44,4,6.45,6.7,POS,0,0,0,0,1,1,1,1,0,1,1,0.5,1,0
NIG000016,33,Female,Bauchi,Bauchi City,North East,Primary,Unemployed,Hausa,Low,Glo,Prepaid,120,2015-09-13,4742.23,664183.39,10.02,778.69,56,4G,0.114,1.22,7.47,2,12.62,7.9,Bank Transfer,1,1,0,0,1,1,0,1,0,2,3,5,0,0
NIG000017,20,Female,Enugu,Enugu City,South East,Secondary,Student,English,Middle,MTN,Postpaid,57,2020-11-15,7012.18,319480.49,3.39,393.17,44,4G,0.223,0.46,32.22,1,12.85,8.8,POS,1,1,0,0,1,0,0,0,0,0,2,1.4,1,0
NIG000018,41,Female,Anambra,Anambra City,South East,Primary,Civil Servant,Hausa,Low,MTN,Prepaid,38,2022-06-08,2827.96,115520.59,0.46,638.58,55,4G,0.144,1.37,36.72,0,9.77,1.7,Airtime Transfer,0,1,0,0,1,1,1,1,0,0,5,2.6,1,0
NIG000019,43,Female,FCT,Abaji,North Central,OND/NCE,Trader,English,Low,9mobile,Prepaid,2,2025-05-23,3989.2,7602.26,1.55,380.18,47,3G,0.187,1.05,34.21,1,71.17,7.9,Bank Transfer,3,0,0,0,1,1,0,0,1,2,0,4.9,0,0
NIG000020,31,Female,Plateau,Plateau City,North Central,HND/BSc,Trader,English,Low,MTN,Postpaid,49,2021-07-13,12861.6,692623.91,13.88,483.35,50,3G,0.221,0.17,29.4,1,8.18,4.2,Mobile Money,0,0,0,0,1,1,0,0,0,1,3,0.2,1,0
NIG000021,47,Male,Rivers,Okrika,South South,Primary,Student,Fulani,Low,MTN,Prepaid,9,2024-10-25,4495.61,40977.55,10.02,1072.48,61,4G,0.015,2.22,27.24,4,3.08,7.6,Bank Transfer,0,0,1,0,0,1,0,1,0,0,4,1.7,1,0
NIG000022,46,Female,Anambra,Anambra City,South East,Secondary,Unemployed,Hausa,Low,Airtel,Hybrid,1,2025-06-22,2843.5,3581.54,1.67,1911.13,48,4G,0.157,2.64,9.6,2,30.17,6.3,Card,1,0,0,0,1,1,0,1,1,4,4,0.1,1,1
NIG000023,70,Female,Akwa Ibom,Akwa Ibom City,South South,OND/NCE,Trader,Hausa,Middle,Airtel,Prepaid,7,2024-12-24,753.78,6847.77,19.62,344.06,60,4G,0.117,0.64,10.02,0,9.58,9.4,Mobile Money,0,0,0,0,0,1,1,0,1,1,7,4.1,1,0
NIG000024,26,Male,Rivers,Bonny,South South,OND/NCE,Doctor,Igbo,Low,MTN,Postpaid,49,2021-07-13,7907.15,278014.3,4.38,582.7,42,4G,0.152,0.01,29.61,2,18.64,8,Bank Transfer,3,1,1,0,1,1,0,1,0,0,2,4.1,1,0
NIG000025,50,Male,Abia,Abia City,South East,No Formal Education,Student,Hausa,Middle,Airtel,Postpaid,27,2023-05-04,3531.82,92263.96,1.23,89.3,54,3G,0.204,2.13,13.96,2,7.69,9.9,USSD,1,0,0,0,0,1,0,1,0,4,1,5.1,0,0
NIG000026,54,Male,Lagos,Lagos,South West,OND/NCE,Trader,Yoruba,Low,MTN,Prepaid,25,2023-07-03,1779.56,39842.4,17.13,1465.54,53,5G,0.272,2.58,12.17,1,20.31,1.2,USSD,0,0,1,1,0,1,1,0,1,0,4,2.2,1,1
NIG000027,61,Female,Adamawa,Adamawa City,North East,OND/NCE,Civil Servant,Pidgin,Low,9mobile,Prepaid,36,2022-08-07,2996.88,118298.06,21.38,1107.69,32,4G,0.217,1.8,23.41,2,15.25,7.7,POS,1,0,0,0,0,1,0,0,0,0,2,6.5,0,0
NIG000028,57,Female,Yobe,Yobe City,North East,HND/BSc,Farmer,Hausa,Low,Airtel,Prepaid,1,2025-06-22,5853.06,6196.25,1.09,292.66,49,3G,0.233,1.04,4.54,2,12.79,1.6,USSD,0,0,0,0,1,0,1,1,0,1,3,4.3,1,1
NIG000029,37,Female,Kano,Karaye,North West,Secondary,Doctor,Yoruba,Low,MTN,Prepaid,1,2025-06-22,4770.62,4698,11.39,660.76,43,3G,0.017,1.52,39.68,0,3.13,5.1,POS,0,0,0,0,1,1,0,1,0,2,2,0.7,1,0
NIG000030,47,Female,Lagos,Badagry,South West,Secondary,Unemployed,English,Middle,Glo,Postpaid,69,2019-11-21,7907.34,584185.17,17.46,399.74,54,3G,0.198,1,17.55,0,25.74,10,Bank Transfer,2,1,0,0,1,1,0,1,1,2,2,0.8,1,0
NIG000031,48,Male,Ogun,Ogun City,South West,Secondary,Entrepreneur,English,Middle,MTN,Prepaid,26,2023-06-03,2467.77,59534.22,19.78,62.67,47,4G,0.174,1.53,67.19,4,5.23,1.1,Mobile Money,1,1,0,1,0,0,0,1,0,0,4,1.1,0,1
NIG000032,47,Male,Anambra,Anambra City,South East,OND/NCE,Student,Yoruba,Low,MTN,Hybrid,15,2024-04-28,3835.87,41775.37,12.36,574.28,60,3G,0.183,1.06,24.71,2,36.4,3.5,Airtime Transfer,1,0,0,0,1,0,1,1,0,0,3,1,1,1
NIG000033,77,Male,Bauchi,Bauchi City,North East,Secondary,Entrepreneur,Yoruba,Low,Glo,Hybrid,3,2025-04-23,3954.03,12419.98,3.2,248.55,37,3G,0.24,0.53,9.07,3,9.72,7,Cash,2,0,0,0,1,0,1,1,0,0,5,1,0,0
NIG000034,65,Female,Katsina,Katsina City,North West,Secondary,Doctor,English,High,Glo,Prepaid,41,2022-03-10,4562.16,134992.33,9.7,315.61,64,4G,0.119,1.19,4.71,5,64.03,2,Airtime Transfer,1,1,1,0,0,0,0,0,0,0,5,1.9,1,1
NIG000035,39,Male,Kano,Karaye,North West,Primary,Farmer,Hausa,Low,MTN,Prepaid,35,2022-09-06,3862.8,170602.24,2.11,807.22,47,4G,0.058,0.48,11.42,3,4.49,1.7,Airtime Transfer,0,0,0,0,1,0,0,1,0,3,4,1,1,0
NIG000036,25,Male,Zamfara,Zamfara City,North West,OND/NCE,Banker,English,Middle,Airtel,Prepaid,43,2022-01-09,1708.34,54269.04,7.26,196.33,50,3G,0.038,4,8.64,4,75.09,2.2,Bank Transfer,3,0,1,0,1,1,0,1,0,0,2,8.9,0,0
NIG000037,21,Male,Abia,Abia City,South East,OND/NCE,Driver,English,Low,MTN,Prepaid,11,2024-08-26,3853.64,54363.15,4.93,357.66,51,3G,0.127,0.17,37.33,4,0.25,3.3,Card,0,1,0,1,0,0,0,0,0,2,0,0.2,1,1
NIG000038,35,Female,Imo,Imo City,South East,Primary,Civil Servant,Pidgin,Low,Glo,Prepaid,1,2025-06-22,4619.28,3949.76,3.73,221.97,55,3G,0.016,0.77,25.77,2,2.74,7.2,Bank Transfer,2,0,0,0,1,1,0,0,0,2,5,4.2,1,0
NIG000039,50,Female,Adamawa,Adamawa City,North East,OND/NCE,Entrepreneur,Hausa,Low,Airtel,Postpaid,43,2022-01-09,10480.98,498917.58,8.77,499.44,40,4G,0.234,0.49,37.94,1,4.72,1.3,Bank Transfer,0,0,0,1,1,1,0,1,0,0,2,0.8,1,1
NIG000040,48,Female,Ebonyi,Ebonyi City,South East,Secondary,Driver,Hausa,Middle,MTN,Prepaid,31,2023-01-04,2542.48,58129.54,1.45,827.77,42,4G,0.053,2.32,30.85,3,20.01,9.8,Bank Transfer,2,1,1,0,0,1,0,1,0,1,2,4.7,1,0
NIG000041,18,Male,Rivers,Opobo,South South,Primary,Artisan,Yoruba,Middle,9mobile,Prepaid,1,2025-06-22,2035.44,1726.43,2.28,303.28,49,3G,0.146,0.07,7.37,1,18.24,4.7,Card,1,1,1,0,1,0,0,1,0,1,4,0.9,0,1
NIG000042,29,Male,Katsina,Katsina City,North West,OND/NCE,Teacher,English,Low,9mobile,Prepaid,1,2025-06-22,4069.22,3047.99,15.81,217.44,58,4G,0.124,2.11,15.93,0,17.24,8.3,USSD,0,1,0,0,0,1,1,1,0,3,2,0.1,1,0
NIG000043,40,Male,Lagos,Epe,South West,Secondary,Entrepreneur,English,High,Airtel,Prepaid,4,2025-03-24,3113.69,14378.88,2.67,954.85,61,4G,0.167,0.36,4.44,2,16.98,6.4,Bank Transfer,0,1,1,0,1,1,1,0,0,0,2,0.8,1,0
NIG000044,46,Male,Bauchi,Bauchi City,North East,Primary,Student,Igbo,Low,MTN,Prepaid,87,2018-05-30,1611.9,175424.09,2.02,628.91,45,4G,0.158,0.56,28.02,0,30.47,4.8,POS,1,1,0,0,1,1,1,1,0,1,0,2.3,0,0
NIG000045,78,Male,Lagos,Ikorodu,South West,OND/NCE,Teacher,Hausa,Middle,MTN,Prepaid,8,2024-11-24,4270.86,41776.64,5.73,768.65,61,4G,0.033,1.18,35.49,4,13.18,1.4,Mobile Money,1,1,0,1,1,1,0,1,0,0,2,2.4,1,1
NIG000046,30,Male,Delta,Delta City,South South,Secondary,Engineer,English,High,MTN,Prepaid,1,2025-06-22,4925.46,6084.82,14.98,499.94,50,4G,0.18,0.24,14.58,5,13.51,3.9,USSD,3,1,0,0,1,0,0,0,0,1,4,0.6,1,1
NIG000047,21,Male,Kaduna,Kaduna,North West,Secondary,Farmer,Yoruba,Middle,Airtel,Prepaid,15,2024-04-28,4944,89917.7,20.88,636.67,49,3G,0.119,0.09,20.68,3,50.86,6.2,Bank Transfer,1,0,1,0,0,1,1,1,0,1,3,2.5,1,1
NIG000048,59,Male,Taraba,Taraba City,North East,HND/BSc,Lawyer,English,Low,Airtel,Prepaid,55,2021-01-14,988.33,62507.23,2.27,1096.4,52,3G,0.035,0.34,40.34,6,18.25,5,Bank Transfer,1,1,0,0,1,0,0,1,0,0,3,1.2,1,0
NIG000049,24,Female,Lagos,Ikorodu,South West,OND/NCE,Artisan,Yoruba,High,MTN,Prepaid,13,2024-06-27,2053.39,19093.47,3.51,192.21,48,4G,0.182,0.91,37.75,3,15.95,1.2,USSD,2,0,0,0,0,1,0,1,1,0,5,6.5,0,1
NIG000050,35,Male,Sokoto,Sokoto City,North West,Primary,Teacher,Hausa,Middle,Glo,Postpaid,13,2024-06-27,4809.79,51070.71,2.32,218.32,51,4G,0.042,1.17,7.81,4,20.22,6.6,Card,1,0,0,0,1,1,1,1,1,0,2,4.2,1,0
NIG000051,38,Female,Kwara,Kwara City,North Central,HND/BSc,Engineer,Hausa,Low,MTN,Prepaid,34,2022-10-06,3860.71,130659.6,0.26,1026.03,51,3G,0.033,3.85,12.68,2,51.59,5,USSD,2,0,0,0,1,0,0,1,1,0,1,10,0,0
NIG000052,56,Male,Lagos,Lagos,South West,Secondary,Doctor,English,Low,MTN,Postpaid,41,2022-03-10,8541.75,392244.34,5.58,1210.75,54,4G,0.165,2,9.2,1,2.55,8.8,Mobile Money,0,1,0,0,0,1,1,1,1,1,1,1.8,1,0
NIG000053,29,Male,Rivers,Okrika,South South,OND/NCE,Trader,Igbo,Middle,Airtel,Prepaid,21,2023-10-31,2526.63,58872.93,5.77,858.92,51,3G,0.233,0.63,24.98,1,23.83,1.5,Mobile Money,0,0,0,0,0,1,0,1,0,0,1,0.9,1,0
NIG000054,32,Female,Nasarawa,Nasarawa City,North Central,Secondary,IT Professional,Hausa,Middle,9mobile,Prepaid,27,2023-05-04,500,14574.97,4.5,914.84,54,3G,0.235,2.07,38.26,3,14.69,2.9,USSD,1,1,0,0,1,0,1,1,1,0,2,2.1,1,0
NIG000055,45,Male,Gombe,Gombe City,North East,Primary,Retiree,English,Low,MTN,Prepaid,2,2025-05-23,884.23,2124.42,5.48,174.18,40,4G,0.121,1.51,5.9,0,14.97,9.7,USSD,1,1,1,0,1,0,0,1,1,0,0,0.7,1,0
NIG000056,34,Male,Lagos,Ikorodu,South West,OND/NCE,Teacher,Igbo,Middle,Glo,Prepaid,42,2022-02-08,1171.43,40553.62,8.72,636.66,52,3G,0.201,1.75,25.1,1,25.26,6.8,USSD,1,1,0,1,1,1,0,1,0,1,5,2.3,1,0
NIG000057,39,Male,Lagos,Lagos,South West,Masters,Teacher,English,Low,Airtel,Prepaid,1,2025-06-22,4762.29,4647.04,2.97,369.6,49,2G,0.253,7.95,15.62,3,72.59,10,Mobile Money,2,0,0,0,1,1,0,1,1,4,4,0.4,1,0
NIG000058,39,Male,Lagos,Badagry,South West,Secondary,Teacher,Igbo,Middle,MTN,Postpaid,4,2025-03-24,12162.93,41465.51,5.26,877.21,61,5G,0.286,1.37,14.01,2,0.8,1.5,USSD,0,1,1,0,1,1,1,1,1,1,3,2.3,1,1
NIG000059,49,Female,Ondo,Ondo City,South West,Secondary,Unemployed,English,Low,Airtel,Postpaid,44,2021-12-10,12260.77,644076.02,3.2,191.21,46,2G,0.191,0.91,19.58,2,42.07,1.4,Mobile Money,1,1,0,0,0,0,1,1,0,1,3,0,1,0
NIG000060,21,Male,Oyo,Oyo,South West,OND/NCE,Artisan,Igbo,Middle,Airtel,Prepaid,9,2024-10-25,4795.39,34913.91,7.6,1166.24,38,4G,0.05,3.03,2.86,1,7.4,6.4,Card,2,0,0,0,1,1,1,1,0,4,2,7.7,0,0
NIG000061,48,Female,Kebbi,Kebbi City,North West,Masters,Farmer,Hausa,Middle,MTN,Postpaid,31,2023-01-04,7118.1,265543.18,4.73,175.33,57,5G,0.016,1.41,12.47,2,19.31,4.6,Bank Transfer,1,0,0,1,1,1,0,1,0,2,1,0.7,1,0
NIG000062,44,Male,Yobe,Yobe City,North East,Secondary,Student,Igbo,Low,MTN,Prepaid,27,2023-05-04,2851.64,71169.95,4.39,1126.82,43,4G,0.03,0.65,36.28,2,17.55,2.6,Cash,0,0,1,0,1,1,0,1,0,1,3,0.2,1,0
NIG000063,23,Female,Benue,Benue City,North Central,OND/NCE,Civil Servant,English,Low,9mobile,Prepaid,27,2023-05-04,4728.17,113329.89,13.63,939.52,39,4G,0.221,4.29,20.42,3,0.37,6.2,Card,2,1,0,0,1,0,0,1,0,2,2,1.8,1,0
NIG000064,30,Female,Lagos,Lagos,South West,HND/BSc,Student,Pidgin,Low,MTN,Prepaid,1,2025-06-22,2040.33,1691.85,0.68,145.9,60,4G,0.085,3.09,39.14,1,105.48,3.6,Airtime Transfer,1,1,0,1,1,1,0,1,0,3,2,1.4,1,0
NIG000065,28,Female,Borno,Borno City,North East,Secondary,Student,English,Low,MTN,Prepaid,1,2025-06-22,4605.94,3533.34,4.41,864.62,49,2G,0.277,1.17,32.34,2,49.46,8.5,Card,3,0,0,0,1,0,1,1,0,2,1,0.7,1,1
NIG000066,49,Male,Kwara,Kwara City,North Central,Secondary,Artisan,Igbo,Low,Airtel,Postpaid,8,2024-11-24,2000,15176.33,7.45,988.57,43,3G,0.073,0.62,53.32,4,49.24,7.1,USSD,1,0,0,0,0,1,1,1,1,2,8,4.3,1,0
NIG000067,59,Female,Bauchi,Bauchi City,North East,HND/BSc,Farmer,Igbo,Low,MTN,Prepaid,8,2024-11-24,5066.29,48326.67,29.46,433.82,53,3G,0.062,0.09,16.53,1,45.2,5.9,Cash,1,1,0,1,0,1,0,1,0,1,0,0.9,1,0
NIG000068,56,Female,Imo,Imo City,South East,OND/NCE,Student,English,Low,MTN,Prepaid,13,2024-06-27,5309.83,62823.67,25,782.88,53,4G,0.048,0.6,7.4,4,8.8,4.7,Mobile Money,1,0,0,1,1,1,1,1,0,0,5,2.8,1,0
NIG000069,56,Male,Kaduna,Kafanchan,North West,OND/NCE,Civil Servant,Yoruba,Low,Glo,Postpaid,34,2022-10-06,5151.73,168048.63,12.87,431.9,46,4G,0.098,4.62,23.85,3,1.67,1.9,Cash,0,1,1,1,1,0,0,1,0,0,4,0,1,0
NIG000070,51,Male,Jigawa,Jigawa City,North West,OND/NCE,Teacher,Yoruba,Middle,9mobile,Prepaid,20,2023-11-30,6153.16,114884.17,3.33,797.73,47,3G,0.299,7.94,18.81,3,14.56,7.1,Mobile Money,1,0,0,0,1,1,0,0,0,1,3,0,1,0
NIG000071,48,Female,Akwa Ibom,Akwa Ibom City,South South,Masters,Teacher,Hausa,Low,Airtel,Prepaid,20,2023-11-30,4079.48,85662.21,4.25,395.21,48,4G,0.264,4.29,14.79,3,32.09,3.6,Airtime Transfer,1,1,0,1,1,1,0,1,0,4,1,0.5,1,1
NIG000072,24,Male,Kano,Gwarzo,North West,PhD,Trader,English,Low,MTN,Prepaid,5,2025-02-22,1614.86,5751.42,7.63,191.83,61,3G,0.296,0.63,4.89,3,15.62,8,Card,0,0,0,1,1,1,0,1,0,0,4,0.1,0,0
NIG000073,51,Female,Lagos,Badagry,South West,Secondary,Artisan,Hausa,Low,Airtel,Postpaid,10,2024-09-25,7180.63,64405.96,10.3,388.36,66,4G,0.174,1.35,21.53,1,11.17,7,Bank Transfer,1,0,0,0,1,0,1,1,0,0,2,1.6,1,0
NIG000074,27,Female,Rivers,Bonny,South South,HND/BSc,Trader,English,Low,MTN,Postpaid,37,2022-07-08,12062.06,353122.5,8.17,332.35,62,3G,0.062,0.54,13.51,3,16.03,4.9,USSD,2,1,0,0,0,1,0,1,1,1,0,1.6,1,0
NIG000075,26,Male,Ogun,Ogun City,South West,Secondary,Student,Yoruba,Middle,MTN,Prepaid,7,2024-12-24,2875.71,23770.81,1.78,376.9,44,4G,0.279,0.98,21.74,0,42.09,5.7,Airtime Transfer,0,0,0,1,1,1,0,1,0,0,4,6.6,0,1
NIG000076,48,Female,Benue,Benue City,North Central,PhD,Civil Servant,Hausa,Middle,MTN,Prepaid,7,2024-12-24,4994.86,44099.76,3.4,771.05,39,4G,0.045,6.89,14.33,1,15.28,7,Airtime Transfer,3,1,0,0,0,1,0,1,1,2,2,0.8,1,0
NIG000077,24,Female,Anambra,Anambra City,South East,Secondary,Farmer,English,Low,Airtel,Prepaid,4,2025-03-24,3684.27,18295.29,2.02,862.87,57,4G,0.27,1.02,38.61,0,42.04,8.2,Bank Transfer,1,0,1,0,0,1,1,0,0,1,5,7,0,1
NIG000078,34,Male,Lagos,Epe,South West,Secondary,Trader,Kanuri,Middle,Airtel,Prepaid,28,2023-04-04,3909.8,81652.98,6.92,389.2,51,4G,0.108,4.88,22.7,1,20.62,7.9,Airtime Transfer,0,0,0,0,0,1,1,1,0,0,4,0.5,1,0
NIG000079,21,Female,Plateau,Plateau City,North Central,Secondary,Banker,Pidgin,Middle,MTN,Prepaid,13,2024-06-27,5894.07,78078.52,3.74,289.34,51,4G,0.047,0.5,9.09,1,9.17,9.7,Card,0,1,0,0,0,1,0,0,0,0,4,5.7,0,0
NIG000080,24,Female,Osun,Osun City,South West,Secondary,Trader,Hausa,Middle,MTN,Postpaid,5,2025-02-22,8459.37,50633.24,9.9,255.53,57,3G,0.115,1.93,37.3,3,13.53,3.7,Bank Transfer,0,1,0,0,1,1,0,1,0,3,1,0.8,0,1
NIG000081,56,Female,Kaduna,Kaduna,North West,Secondary,Unemployed,Pidgin,Middle,Airtel,Prepaid,1,2025-06-22,635.97,456.11,12.04,504.72,48,4G,0.083,2.47,16.19,3,13.33,8.5,Airtime Transfer,0,0,1,1,0,1,0,1,0,0,1,1.2,1,0
NIG000082,40,Male,Kebbi,Kebbi City,North West,HND/BSc,Artisan,English,Middle,MTN,Prepaid,10,2024-09-25,6047.14,44386.5,2.34,1226.72,53,4G,0.269,0.71,7.85,1,26.78,8.4,Mobile Money,1,0,1,0,1,0,0,1,0,4,3,1.1,1,0
NIG000083,57,Male,Edo,Edo City,South South,OND/NCE,Driver,Yoruba,Low,Glo,Prepaid,40,2022-04-09,4495.17,153162.33,2.69,398.61,52,4G,0.173,1.12,31.09,2,6.38,6.6,Mobile Money,0,0,0,0,1,0,1,1,0,1,0,0.2,1,1
NIG000084,45,Male,Sokoto,Sokoto City,North West,Primary,Civil Servant,Yoruba,Low,9mobile,Prepaid,53,2021-03-15,5933.29,314516.91,17,600.05,62,3G,0.214,0.69,8.34,6,0.03,3.4,Card,2,0,1,0,1,1,0,0,0,3,3,2.5,1,1
NIG000085,20,Female,Katsina,Katsina City,North West,Masters,Teacher,Hausa,Low,MTN,Prepaid,11,2024-08-26,1157.76,10750.93,13.38,353.46,51,5G,0.175,3.35,13.22,1,26.79,7.1,Card,0,1,0,0,1,1,1,1,0,2,4,0.3,1,1
NIG000086,38,Female,Sokoto,Sokoto City,North West,Primary,Student,English,Middle,Airtel,Prepaid,6,2025-01-23,5155.82,22426.17,7.08,250.25,52,4G,0.175,2.62,29.93,2,29.03,6,USSD,1,0,0,0,1,1,1,1,0,1,1,1.8,1,0
NIG000087,22,Male,Osun,Osun City,South West,Primary,Lawyer,Other,Low,Airtel,Prepaid,12,2024-07-27,809.16,10640.28,1.37,379.36,64,5G,0.045,1.3,19.07,2,3.25,4.5,Bank Transfer,1,0,0,0,1,1,0,1,0,0,3,0.3,1,0
NIG000088,23,Female,Abia,Abia City,South East,OND/NCE,Unemployed,English,Low,Airtel,Prepaid,42,2022-02-08,2439.91,129583.81,9.35,737.76,48,4G,0.281,2.23,8.22,2,97.12,1.8,Airtime Transfer,0,0,0,0,0,0,0,1,0,0,0,3.4,1,1
NIG000089,34,Female,Sokoto,Sokoto City,North West,HND/BSc,Doctor,Igbo,Low,Airtel,Prepaid,76,2019-04-25,6908.65,437001.51,9.29,213.52,52,4G,0.068,2.2,20.74,1,4.89,2.8,USSD,0,0,0,0,0,1,0,1,0,0,4,0.2,0,1
NIG000090,40,Female,Lagos,Ikorodu,South West,OND/NCE,Farmer,Hausa,Low,9mobile,Hybrid,38,2022-06-08,4677.49,142132.46,10.69,982.06,63,3G,0.202,0.37,31.62,2,25.4,6.2,Bank Transfer,1,1,0,1,0,1,0,0,0,0,1,3,1,0
NIG000091,45,Female,Oyo,Ogbomoso,South West,HND/BSc,Unemployed,English,Low,MTN,Prepaid,91,2018-01-30,4250.36,348303.98,3.21,1310.65,36,3G,0.125,1.59,2.75,2,27.01,4.6,Bank Transfer,0,1,1,1,1,0,0,1,0,1,2,1.6,1,0
NIG000092,50,Male,Oyo,Ogbomoso,South West,No Formal Education,Banker,Hausa,Low,Glo,Prepaid,5,2025-02-22,1852.86,8933.8,5.15,283.96,48,3G,0.027,0.77,25.12,0,20.47,1.5,Bank Transfer,1,0,0,0,0,1,0,1,0,2,2,0.4,1,1
NIG000093,37,Female,Cross River,Cross River City,South South,Primary,Unemployed,English,Low,Glo,Postpaid,30,2023-02-03,7237.26,198928.7,5.16,930.39,45,4G,0.167,2.46,12.99,3,31.96,2.9,Bank Transfer,1,0,0,0,1,0,0,1,0,1,4,1,1,0
NIG000094,26,Male,Oyo,Ibadan,South West,Primary,Sales Rep,Hausa,Low,Airtel,Prepaid,10,2024-09-25,2937.79,26086.43,3.45,849.12,46,3G,0.197,2.05,17.26,4,21.99,5.4,USSD,3,1,0,1,0,0,1,1,0,0,1,1.2,0,0
